phase,split,run_path,action_unit_version,adaptation_buffer_ids,arm,encoder_version,model_version,objective_version,predictor_version,real_history_id,run_id,sample_id,seed,shape,mpc_iter,objective_stage,gd_iter,endpoint_candidate_id,c_model_initial,c_env_initial,c_model_endpoint,c_env_endpoint,g_model,g_env,omega,best_so_far_model_candidate_id,best_so_far_env_candidate_id,best_so_far_r_selected
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0""]",FROZEN,0,0,0,0,s1_history_mpc1,dev_valL_frozen_n3,1,101,L,1,terminal,74,g74_after,0.05668036267161369,0.09870419651269913,0.006859326269477606,0.03544691205024719,0.04982103640213609,0.06325728446245193,-0.013436248060315847,g74_after,g24_before,0.014567343518137932
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0""]",FROZEN,0,0,0,0,s1_history_mpc1,dev_valL_frozen_n3,1,101,L,1,terminal,99,g99_after,0.05668036267161369,0.09870419651269913,0.006750969216227531,0.03079642727971077,0.04992939345538616,0.06790776923298836,-0.017978375777602196,g99_after,g24_before,0.009916858747601509
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1""]",FROZEN,0,0,0,0,s1_history_mpc2,dev_valL_frozen_n3,1,101,L,2,terminal,0,g0_after,0.06145443767309189,0.07326690107584,0.16360780596733093,0.08481939882040024,-0.10215336829423904,-0.011552497744560242,-0.0906008705496788,g0_before,g0_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1""]",FROZEN,0,0,0,0,s1_history_mpc2,dev_valL_frozen_n3,1,101,L,2,terminal,24,g24_after,0.06145443767309189,0.07326690107584,0.015710260719060898,0.023375723510980606,0.04574417695403099,0.04989117756485939,-0.0041470006108284,g24_after,g24_after,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1""]",FROZEN,0,0,0,0,s1_history_mpc2,dev_valL_frozen_n3,1,101,L,2,terminal,49,g49_after,0.06145443767309189,0.07326690107584,0.008304597809910774,0.014063959941267967,0.053149839863181114,0.05920294113457203,-0.006053101271390915,g49_after,g49_before,0.00566667877137661
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1""]",FROZEN,0,0,0,0,s1_history_mpc2,dev_valL_frozen_n3,1,101,L,2,terminal,74,g74_after,0.06145443767309189,0.07326690107584,0.007893238216638565,0.015979818999767303,0.05356119945645332,0.05728708207607269,-0.0037258826196193695,g74_after,g49_before,0.007582537829875946
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1""]",FROZEN,0,0,0,0,s1_history_mpc2,dev_valL_frozen_n3,1,101,L,2,terminal,99,g99_after,0.06145443767309189,0.07326690107584,0.007841665297746658,0.0164361409842968,0.05361277237534523,0.0568307600915432,-0.0032179877161979675,g99_after,g49_before,0.008038859814405441
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2""]",FROZEN,0,0,0,0,s1_history_mpc3,dev_valL_frozen_n3,1,101,L,3,terminal,0,g0_after,0.060407351702451706,0.06776022911071777,0.06350919604301453,0.21244722604751587,-0.0031018443405628204,-0.1446869969367981,0.14158515259623528,g0_before,g0_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2""]",FROZEN,0,0,0,0,s1_history_mpc3,dev_valL_frozen_n3,1,101,L,3,terminal,24,g24_after,0.060407351702451706,0.06776022911071777,0.009473199024796486,0.0067933788523077965,0.05093415267765522,0.06096685025840998,-0.010032697580754757,g24_before,g24_after,0.0001285737380385399
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2""]",FROZEN,0,0,0,0,s1_history_mpc3,dev_valL_frozen_n3,1,101,L,3,terminal,49,g49_after,0.060407351702451706,0.06776022911071777,0.007374361157417297,0.010830048471689224,0.05303299054503441,0.05693018063902855,-0.0038971900939941406,g49_after,g24_after,0.004036669619381428
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2""]",FROZEN,0,0,0,0,s1_history_mpc3,dev_valL_frozen_n3,1,101,L,3,terminal,74,g74_after,0.060407351702451706,0.06776022911071777,0.00677688280120492,0.011595926247537136,0.053630468901246786,0.05616430286318064,-0.0025338339619338512,g74_after,g24_after,0.00480254739522934
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2""]",FROZEN,0,0,0,0,s1_history_mpc3,dev_valL_frozen_n3,1,101,L,3,terminal,99,g99_after,0.060407351702451706,0.06776022911071777,0.006701638922095299,0.01326739601790905,0.05370571278035641,0.05449283309280872,-0.0007871203124523163,g99_after,g24_after,0.0064740171656012535
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2"", ""s1_executed_mpc3""]",FROZEN,0,0,0,0,s1_history_mpc4,dev_valL_frozen_n3,1,101,L,4,terminal,0,g0_after,0.06176058575510979,0.07222633063793182,0.08081051707267761,0.10535399615764618,-0.019049931317567825,-0.033127665519714355,0.01407773420214653,g0_before,g0_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2"", ""s1_executed_mpc3""]",FROZEN,0,0,0,0,s1_history_mpc4,dev_valL_frozen_n3,1,101,L,4,terminal,24,g24_after,0.06176058575510979,0.07222633063793182,0.009489113464951515,0.0048777880147099495,0.05227147229015827,0.06734854262322187,-0.015077070333063602,g24_before,g24_after,0.0005913060158491135
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2"", ""s1_executed_mpc3""]",FROZEN,0,0,0,0,s1_history_mpc4,dev_valL_frozen_n3,1,101,L,4,terminal,49,g49_after,0.06176058575510979,0.07222633063793182,0.008038897998631,0.0070765092968940735,0.053721687756478786,0.06514982134103775,-0.011428133584558964,g49_after,g24_after,0.002198721282184124
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2"", ""s1_executed_mpc3""]",FROZEN,0,0,0,0,s1_history_mpc4,dev_valL_frozen_n3,1,101,L,4,terminal,74,g74_after,0.06176058575510979,0.07222633063793182,0.007550978567451239,0.006941938307136297,0.05420960718765855,0.06528439233079553,-0.011074785143136978,g74_after,g24_after,0.0020641502924263477
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2"", ""s1_executed_mpc3""]",FROZEN,0,0,0,0,s1_history_mpc4,dev_valL_frozen_n3,1,101,L,4,terminal,99,g99_after,0.06176058575510979,0.07222633063793182,0.007510676514357328,0.016956113278865814,0.05424990924075246,0.05527021735906601,-0.001020308118313551,g99_after,g24_after,0.012078325264155865
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2"", ""s1_executed_mpc3"", ""s1_executed_mpc4""]",FROZEN,0,0,0,0,s1_history_mpc5,dev_valL_frozen_n3,1,101,L,5,full_horizon,0,g0_after,0.009810026735067368,0.01121379155665636,0.01009814441204071,0.01261703297495842,-0.0002881176769733429,-0.0014032414183020592,0.0011151237413287163,g0_before,g0_before,0.0
