phase,split,arm,adaptation_stage,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
development,val_T,PREDICTOR_ONLY,after_prior_factual_updates,T,80,3,contrast (repeated within episode; not independent samples),0.0025833693565800787,0.007883401731642266,0.29966418804980677,0.5375,26,0.325,54,0.48148148148148145,1e-06,0.625,14,0.175,31,0.45161290322580644,0.0020942735558492132,0.0038949778143432924,0.005506239831447601,0.0
development,val_T,PREDICTOR_ONLY,first_mpc_replan_pre_update,T,15,3,contrast (repeated within episode; not independent samples),0.007548166283716758,0.017538485913445024,0.7178571428571427,0.6666666666666666,4,0.26666666666666666,14,0.2857142857142857,1e-06,0.7333333333333333,3,0.2,11,0.2727272727272727,0.0414023044363906,0.04384650990056495,0.00013403967022895813,0.0
ood,val_I,FROZEN,first_mpc_replan_pre_update,I,25,5,contrast (repeated within episode; not independent samples),0.03432089947164059,0.06090595835826856,0.35846153846153844,0.48,9,0.36,21,0.42857142857142855,1e-06,0.6,7,0.28,16,0.4375,0.06001426756381988,0.04820860020816326,0.05267965793609619,0.0
ood,val_I,FROZEN,later_mpc_replans_no_updates,I,475,5,contrast (repeated within episode; not independent samples),0.005677528212729253,0.03145736182518773,0.20434712899769975,0.5221052631578947,147,0.3094736842105263,333,0.44144144144144143,1e-06,0.6105263157894737,82,0.1726315789473684,192,0.4270833333333333,0.0053176828160097726,0.006581434127139418,0.026242971420288086,0.0
ood,val_I,OFFICIAL_ADAJEPA,after_prior_factual_updates,I,410,5,contrast (repeated within episode; not independent samples),0.006757678318677879,0.03561991585420536,0.3533174866660079,0.5487804878048781,154,0.375609756097561,314,0.49044585987261147,1e-06,0.6463414634146342,101,0.24634146341463414,215,0.4697674418604651,0.0060335591265068544,0.00992599181694592,0.024657368659973145,5.246455917452894e-05
ood,val_I,OFFICIAL_ADAJEPA,first_mpc_replan_pre_update,I,25,5,contrast (repeated within episode; not independent samples),0.03432089947164059,0.06090595835826856,0.35846153846153844,0.48,9,0.36,21,0.42857142857142855,1e-06,0.6,7,0.28,16,0.4375,0.06001426756381988,0.04820860020816326,0.05267965793609619,0.0
ood,val_I,PREDICTOR_ONLY,after_prior_factual_updates,I,410,5,contrast (repeated within episode; not independent samples),0.007459837436766886,0.03604765474059761,0.24312705080031044,0.5219512195121951,154,0.375609756097561,317,0.48580441640378547,1e-06,0.6390243902439025,97,0.23658536585365852,219,0.4429223744292237,0.006503556549503672,0.008746066814424788,0.08091342449188232,0.0
ood,val_I,PREDICTOR_ONLY,first_mpc_replan_pre_update,I,25,5,contrast (repeated within episode; not independent samples),0.03432089947164059,0.06090595835826856,0.35846153846153844,0.48,9,0.36,21,0.42857142857142855,1e-06,0.6,7,0.28,16,0.4375,0.06001426756381988,0.04820860020816326,0.05267965793609619,0.0
ood,val_small_tee,FROZEN,first_mpc_replan_pre_update,small_tee,25,5,contrast (repeated within episode; not independent samples),0.01398849457502365,0.02649218448445808,0.540488565489527,0.72,4,0.16,21,0.19047619047619047,1e-06,0.72,4,0.16,16,0.25,0.06402325198054314,0.05685939848423004,0.012073136866092682,0.0
ood,val_small_tee,FROZEN,later_mpc_replans_no_updates,small_tee,150,5,contrast (repeated within episode; not independent samples),0.022836144010846812,0.09397757951320676,0.11724588531897648,0.5666666666666667,39,0.26,102,0.38235294117647056,1e-06,0.6333333333333333,29,0.19333333333333333,72,0.4027777777777778,0.017413962470988434,0.023199284470950564,0.04141621291637421,0.0
