phase,split,run_id,sample_id,seed,arm,success,returned_model_actions,support_update_events,support_loss_improved_rate,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
ood,val_I,ood_valI_official_n5,0,1,OFFICIAL_ADAJEPA,False,20,20,0.8,I,100,1,contrast (repeated within episode; not independent samples),0.0068182929558679465,0.026747337288442672,0.5836411373277478,0.63,29,0.29,70,0.4142857142857143,1e-06,0.73,19,0.19,44,0.4318181818181818,0.007727360711432993,0.010009884312748909,0.018069833517074585,5.584397353231907e-05
ood,val_I,ood_valI_official_n5,1,101,OFFICIAL_ADAJEPA,True,7,7,1.0,I,35,1,contrast (repeated within episode; not independent samples),0.020946824796763915,0.05671995267986935,0.016526610644257703,0.4857142857142857,14,0.4,26,0.5384615384615384,1e-06,0.6,9,0.2571428571428571,18,0.5,0.01985106957810266,0.015351750495444452,0.0071834176778793335,2.274133398064545e-05
ood,val_I,ood_valI_official_n5,2,201,OFFICIAL_ADAJEPA,False,20,20,0.95,I,100,1,contrast (repeated within episode; not independent samples),0.014192970711737871,0.06139484668588795,0.34200868453978456,0.49,39,0.39,77,0.5064935064935064,1e-06,0.61,24,0.24,56,0.42857142857142855,0.009168001096695662,0.019066137969493867,0.05267965793609619,8.29608365893364e-05
ood,val_I,ood_valI_official_n5,3,301,OFFICIAL_ADAJEPA,False,20,20,0.85,I,100,1,contrast (repeated within episode; not independent samples),0.005323074262123555,0.020242875730714833,0.09089354348370407,0.49,45,0.45,92,0.4891304347826087,1e-06,0.57,38,0.38,71,0.5352112676056338,0.008272872939705848,0.010247325396630914,0.01205877959728241,3.8433133158832786e-05
ood,val_I,ood_valI_official_n5,4,401,OFFICIAL_ADAJEPA,False,20,20,0.95,I,100,1,contrast (repeated within episode; not independent samples),0.0026209793658927083,0.01043314778083062,0.4700616975000477,0.59,36,0.36,70,0.5142857142857142,1e-06,0.68,18,0.18,42,0.42857142857142855,0.007625050209462643,0.008052256149239838,0.004154309630393982,2.9907282441854478e-05
ood,val_I,ood_valI_predictor_only_n5,0,1,PREDICTOR_ONLY,False,20,20,0.8,I,100,1,contrast (repeated within episode; not independent samples),0.006825947153847664,0.027717741395444546,0.44875437686040326,0.58,34,0.34,71,0.4788732394366197,1e-06,0.7,19,0.19,46,0.41304347826086957,0.00795536295743659,0.01025232395157218,0.015025883913040161,0.0
ood,val_I,ood_valI_predictor_only_n5,1,101,PREDICTOR_ONLY,True,7,7,1.0,I,35,1,contrast (repeated within episode; not independent samples),0.021763726230710746,0.05588678763736052,0.12633053221288518,0.4857142857142857,13,0.37142857142857144,26,0.5,1e-06,0.6,9,0.2571428571428571,18,0.5,0.01905387330667249,0.015994890852432164,0.0071834176778793335,0.0
ood,val_I,ood_valI_predictor_only_n5,2,201,PREDICTOR_ONLY,False,20,20,1.0,I,100,1,contrast (repeated within episode; not independent samples),0.01282537953928113,0.05395796534313904,0.17202794272780023,0.44,42,0.42,86,0.4883720930232558,1e-06,0.59,30,0.3,66,0.45454545454545453,0.008732153493911028,0.014356600195169449,0.05267965793609619,0.0
ood,val_I,ood_valI_predictor_only_n5,3,301,PREDICTOR_ONLY,False,20,20,0.9,I,100,1,contrast (repeated within episode; not independent samples),0.005850888350978494,0.02243235952874718,0.086397268437004,0.46,48,0.48,91,0.5274725274725275,1e-06,0.61,34,0.34,69,0.4927536231884058,0.00872197232209146,0.010880214590579272,0.08091342449188232,0.0
ood,val_I,ood_valI_predictor_only_n5,4,401,PREDICTOR_ONLY,False,20,20,1.0,I,100,1,contrast (repeated within episode; not independent samples),0.006046039133798331,0.03128815117408708,0.3241708948669691,0.61,26,0.26,64,0.40625,1e-06,0.66,12,0.12,36,0.3333333333333333,0.009589804313145578,0.006823673455510288,0.0054427701979875565,0.0
