phase,split,run_id,arm,sample_id,adaptation_mpc_iter,next_query_mpc_iter,support_loss_delta,support_loss_improved,next_query_mae,next_query_thresholded_false_rate_all,next_query_sign_accuracy,next_query_max_env_worsening
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,2,6,7,-0.0009554869029670954,True,0.0008849264588207007,0.0,0.8,0.0
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,0,1,-0.00433889776468277,True,0.027834362536668777,0.2,0.8,0.018069833517074585
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,1,2,-0.004099240526556969,True,0.04055444598197937,0.4,0.6,0.01123926043510437
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,2,3,-0.0037376750260591507,True,0.019674794375896455,0.2,0.8,1.0028481483459473e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,3,4,-0.0026846807450056076,True,0.0038622736930847166,0.0,1.0,0.0
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,4,5,-0.002846071496605873,True,0.002096204645931721,0.4,0.4,0.0001610959880053997
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,5,6,-0.0035084709525108337,True,0.0005269150249660015,0.2,0.8,4.860665649175644e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,6,7,-0.002730792388319969,True,0.0019057280384004115,0.4,0.6,0.00027486495673656464
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,7,8,-0.0036960020661354065,True,0.0024024926126003264,0.2,0.6,7.738173007965088e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,8,9,-0.0014724498614668846,True,0.0008503331802785397,0.2,0.8,2.7138739824295044e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,9,10,-0.0017049801535904408,True,0.0013774780556559563,0.2,0.8,0.0002233767881989479
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,10,11,-0.0007140487432479858,True,0.0001023971475660801,0.0,0.8,4.656612873077393e-10
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,11,12,-0.0012500118464231491,True,0.001498953253030777,0.2,0.8,1.4239922165870667e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,12,13,0.00023635942488908768,False,0.0006991987116634846,0.2,0.8,5.463603883981705e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,13,14,-0.0011527522001415491,True,0.003771731676533818,0.2,0.8,2.945307642221451e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,14,15,0.0005151070654392242,False,0.000143478624522686,0.2,0.6,6.605032831430435e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,15,16,-0.0015250961296260357,True,0.001031653815880418,0.0,0.6,0.0
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,16,17,0.00015198858454823494,False,0.0005144136026501656,0.0,0.8,1.3969838619232178e-09
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,17,18,-0.0007974840700626373,True,0.0017316860612481833,0.2,0.8,2.9248185455799103e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,0,18,19,0.0003693561302497983,False,0.0012488320004194974,0.2,0.8,9.53073613345623e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,1,0,1,-0.008018262684345245,True,0.03998588994145393,0.2,0.6,0.0021278485655784607
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,1,1,2,-0.003952469676733017,True,0.01598568856716156,0.2,0.8,0.002672005444765091
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,1,2,3,-0.006475144997239113,True,0.003857291489839554,0.4,0.6,0.005162779241800308
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,1,3,4,-0.003327213227748871,True,0.05091604888439179,0.2,0.6,0.004297580569982529
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,1,4,5,-0.0028113964945077896,True,0.004780749976634979,0.2,0.4,1.066364347934723e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,1,5,6,-0.0025088321417570114,True,0.001578671718016267,0.0,0.8,1.4570541679859161e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,0,1,-0.0139901302754879,True,0.1019187293946743,0.4,0.6,0.024657368659973145
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,1,2,-0.007587414234876633,True,0.08350192680954933,0.2,0.6,3.483891487121582e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,2,3,-0.006472505629062653,True,0.018370813131332396,0.2,0.8,9.000301361083984e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,3,4,-0.008622586727142334,True,0.00963449478149414,0.2,0.8,0.005865871906280518
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,4,5,-0.008578803390264511,True,0.002714592590928078,0.4,0.6,0.0027158893644809723
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,5,6,-0.010253094136714935,True,0.0021527808159589766,0.4,0.6,0.0012343339622020721
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,6,7,-0.00767083466053009,True,0.001870843768119812,0.2,0.8,0.0002383217215538025
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,7,8,-0.004593508318066597,True,7.449053227901459e-05,0.2,0.4,0.00021978840231895447
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,8,9,-0.002884187735617161,True,0.000270485132932663,0.6,0.4,0.0003430955111980438
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,9,10,-0.002482648938894272,True,0.00032851323485374453,0.2,0.4,3.1635165214538574e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,10,11,-0.0024650245904922485,True,0.00018629506230354308,0.4,0.4,0.00017271935939788818
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,11,12,-0.0031616035848855972,True,0.0010625518858432769,0.2,0.4,0.00017782673239707947
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,12,13,-0.0020089801400899887,True,0.0007621370255947113,0.0,0.8,0.0
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,13,14,-0.002220793627202511,True,0.0004408419132232666,0.2,0.6,3.15643846988678e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,14,15,-0.0009985428769141436,True,0.00047178566455841064,0.0,0.8,0.0
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,15,16,-0.0006165932863950729,True,0.0002094365656375885,0.2,0.6,0.0005959272384643555
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,16,17,-0.0005148702766746283,True,0.0004969798028469086,0.2,0.6,0.00020868703722953796
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,17,18,0.00019368110224604607,False,0.00017044022679328917,0.2,0.6,0.0004869513213634491
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,2,18,19,-0.0009120774921029806,True,0.00037523433566093444,0.2,0.8,0.00026087090373039246
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,0,1,-0.009593237191438675,True,0.01038782000541687,0.4,0.6,0.01205877959728241
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,1,2,-0.011182038113474846,True,0.010584164038300514,0.6,0.4,0.005753941833972931
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,2,3,-0.003806031309068203,True,0.014187871664762496,0.2,0.8,0.00014707446098327637
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,3,4,-0.0018332228064537048,True,0.0021186985075473787,0.2,0.8,0.0012946389615535736
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,4,5,-0.004503253847360611,True,0.0009645349346101284,0.2,0.6,2.2309832274913788e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,5,6,-0.0030725356191396713,True,0.0010612201876938343,0.4,0.6,0.00020336592569947243
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,6,7,-0.0031419796869158745,True,0.00028390311636030676,0.2,0.6,8.618459105491638e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,7,8,-0.003130369819700718,True,0.00023997784592211246,0.4,0.4,0.0003030411899089813
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,8,9,-0.0029489807784557343,True,0.00029154825024306773,0.4,0.6,0.0004091705195605755
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,9,10,-0.0007000379264354706,True,0.0017174292355775834,0.6,0.4,0.0008649984374642372
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,10,11,-0.0038735419511795044,True,1.9388087093830108e-05,0.4,0.6,2.704095095396042e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,11,12,-0.001764019951224327,True,0.0010457917116582394,0.6,0.4,0.0013957847841084003
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,12,13,-0.003222241997718811,True,0.0017994788475334644,0.8,0.2,0.005072019994258881
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,13,14,0.0004031015560030937,False,0.0006371466442942619,0.6,0.2,0.0018593594431877136
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,14,15,-0.0022486867383122444,True,0.0019860866479575632,0.4,0.6,0.0024104160256683826
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,15,16,0.0001100366935133934,False,0.002068514935672283,0.2,0.8,0.009801361709833145
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,16,17,-0.0019262423738837242,True,0.001859870832413435,0.2,0.8,8.629634976387024e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,17,18,0.0006695534102618694,False,0.0018463177606463433,0.2,0.8,0.00045075081288814545
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,3,18,19,-0.0009999009780585766,True,0.0019169709645211696,0.4,0.6,0.008467374369502068
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,0,1,-0.007218506187200546,True,0.018482719361782075,0.2,0.8,0.0034060850739479065
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,1,2,-0.010965419933199883,True,0.007952428609132766,0.2,0.6,0.004154309630393982
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,2,3,-0.007101919502019882,True,0.006438050419092178,0.2,0.6,0.0032289251685142517
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,3,4,-0.006304921582341194,True,0.0066517025232315065,0.6,0.4,0.0020293258130550385
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,4,5,-0.005000703036785126,True,0.0002523055300116539,0.0,1.0,1.671724021434784e-07
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,5,6,-0.004014503210783005,True,0.00014263447374105454,0.0,0.6,3.725290298461914e-09
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,6,7,-0.004580395296216011,True,9.888885542750359e-05,0.0,0.8,0.0
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,7,8,-0.003357107751071453,True,0.0001272154040634632,0.2,0.6,8.943816646933556e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,8,9,-0.0021493621170520782,True,0.0001206444576382637,0.4,0.6,5.727587267756462e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,9,10,-0.001970953308045864,True,0.00020742826163768768,0.2,0.8,2.217944711446762e-06
